goClass	level
GO:0061574	L4
GO:0061576	L4
GO:0061671	L4
GO:0061696	L4
GO:0061700	L4
GO:0061702	L4
GO:0061703	L4
GO:0061838	L4
GO:0061927	L4
GO:0061957	L4
GO:0062048	L4
GO:0062049	L4
GO:0062073	L4
GO:0062092	L4
GO:0062119	L4
GO:0062128	L4
GO:0062141	L4
GO:0062167	L4
GO:0070069	L4
GO:0070209	L4
GO:0070214	L4
GO:0070274	L4
GO:0070288	L4
GO:0070310	L4
GO:0070313	L4
GO:0070331	L4
GO:0070332	L4
GO:0070353	L4
GO:0070354	L4
GO:0070385	L4
GO:0070390	L4
GO:0070421	L4
GO:0070422	L4
GO:0070441	L4
GO:0070467	L4
GO:0070516	L4
GO:0070517	L4
GO:0070531	L4
GO:0070532	L4
GO:0070533	L4
GO:0070545	L4
GO:0070552	L4
GO:0070557	L4
GO:0070559	L4
GO:0070693	L4
GO:0070695	L4
GO:0070743	L4
GO:0070744	L4
GO:0070745	L4
GO:0070762	L4
GO:0070767	L4
GO:0070826	L4
GO:0070864	L4
GO:0070876	L4
GO:0070937	L4
GO:0071075	L4
GO:0071175	L4
GO:0071176	L4
GO:0071177	L4
GO:0071178	L4
GO:0071179	L4
GO:0071180	L4
GO:0071181	L4
GO:0071182	L4
GO:0071203	L4
GO:0071521	L4
GO:0071563	L4
GO:0071664	L4
GO:0071817	L4
GO:0071819	L4
GO:0071821	L4
GO:0072379	L4
GO:0089701	L4
GO:0089713	L4
GO:0090443	L4
GO:0090665	L4
GO:0097057	L4
GO:0097058	L4
GO:0097059	L4
GO:0097071	L4
GO:0097076	L4
GO:0097078	L4
GO:0097136	L4
GO:0097149	L4
GO:0097255	L4
GO:0097344	L4
GO:0097347	L4
GO:0097361	L4
GO:0097373	L4
GO:0097452	L4
GO:0097495	L4
GO:0097537	L4
GO:0097539	L4
GO:0097619	L4
GO:0097710	L4
GO:0098046	L4
GO:0098561	L4
GO:0098636	L4
GO:0098654	L4
GO:0098733	L4
GO:0098774	L4
GO:0098796	L4
GO:0098798	L4
GO:0098820	L4
GO:0099023	L4
GO:0099078	L4
GO:0099126	L4
GO:0099128	L4
GO:0101031	L4
GO:0106002	L4
GO:0106003	L4
GO:0106093	L4
GO:0106249	L4
GO:0110078	L4
GO:0110131	L4
GO:0110142	L4
GO:0110157	L4
GO:0120099	L4
GO:0120103	L4
GO:0120114	L4
GO:0120124	L4
GO:0120155	L4
GO:0120171	L4
GO:0120216	L4
GO:0140007	L4
GO:0140224	L4
GO:0140225	L4
GO:0140451	L4
GO:0150005	L4
GO:1902494	L4
GO:1902695	L4
GO:1903269	L4
GO:1903502	L4
GO:1903503	L4
GO:1904090	L4
GO:1990062	L4
GO:1990065	L4
GO:1990078	L4
GO:1990100	L4
GO:1990104	L4
GO:1990112	L4
GO:1990125	L4
GO:1990130	L4
GO:1990131	L4
GO:1990143	L4
GO:1990200	L4
GO:1990221	L4
GO:1990229	L4
GO:1990249	L4
GO:1990252	L4
GO:1990298	L4
GO:1990315	L4
GO:1990333	L4
GO:1990341	L4
GO:1990346	L4
GO:1990351	L4
GO:1990356	L4
GO:1990391	L4
GO:1990393	L4
GO:1990415	L4
GO:1990423	L4
GO:1990453	L4
GO:1990463	L4
GO:1990469	L4
GO:1990477	L4
GO:1990499	L4
GO:1990509	L4
GO:1990526	L4
GO:1990527	L4
GO:1990528	L4
GO:1990533	L4
GO:1990563	L4
GO:1990586	L4
GO:1990597	L4
GO:1990615	L4
GO:1990622	L4
GO:1990630	L4
GO:1990660	L4
GO:1990661	L4
GO:1990665	L4
GO:1990666	L4
GO:1990667	L4
GO:1990682	L4
GO:1990684	L4
GO:1990696	L4
GO:1990706	L4
GO:1990713	L4
GO:1990727	L4
GO:1990728	L4
GO:1990730	L4
GO:1990733	L4
GO:1990745	L4
GO:1990788	L4
GO:1990811	L4
GO:1990861	L4
GO:1990871	L4
GO:1990904	L4
GO:1990909	L4
GO:1990923	L4
GO:1990957	L4
GO:1990964	L4
GO:0044216	L4
GO:0044218	L4
GO:0106139	L4
GO:0019013	L4
GO:0019028	L4
GO:0019033	L4
GO:0036338	L4
GO:0039624	L4
GO:0039625	L4
GO:0039626	L4
GO:0039642	L4
GO:0046727	L4
GO:0046729	L4
GO:0055036	L4
GO:0098015	L4
GO:0098021	L4
GO:0098023	L4
GO:0098024	L4
GO:0098025	L4
GO:0098026	L4
GO:0098027	L4
GO:0098028	L4
GO:0098029	L4
GO:0098030	L4
GO:0098031	L4
GO:0098061	L4
GO:0000242	L4
GO:0000399	L4
GO:0000407	L4
GO:0000785	L4
GO:0000800	L4
GO:0000801	L4
GO:0000802	L4
GO:0000922	L4
GO:0000943	L4
GO:0001400	L4
GO:0001650	L4
GO:0001651	L4
GO:0001652	L4
GO:0001750	L4
GO:0001772	L4
GO:0001891	L4
GO:0001917	L4
GO:0002139	L4
GO:0002177	L4
GO:0005576	L4
GO:0005615	L4
GO:0005621	L4
GO:0005630	L4
GO:0005631	L4
GO:0005632	L4
GO:0005652	L4
GO:0005654	L4
GO:0005657	L4
GO:0005702	L4
GO:0005706	L4
GO:0005712	L4
GO:0005713	L4
GO:0005726	L4
GO:0005727	L4
GO:0005815	L4
GO:0005821	L4
GO:0005822	L4
GO:0005823	L4
GO:0005824	L4
GO:0005825	L4
GO:0005829	L4
GO:0005930	L4
GO:0005933	L4
GO:0009295	L4
GO:0009418	L4
GO:0009419	L4
GO:0009420	L4
GO:0009421	L4
GO:0009422	L4
GO:0009424	L4
GO:0009425	L4
GO:0009426	L4
GO:0009427	L4
GO:0009428	L4
GO:0009429	L4
GO:0009431	L4
GO:0009433	L4
GO:0009504	L4
GO:0009510	L4
GO:0009524	L4
GO:0009525	L4
GO:0009532	L4
GO:0009541	L4
GO:0009542	L4
GO:0009546	L4
GO:0009548	L4
GO:0009549	L4
GO:0009574	L4
GO:0009930	L4
GO:0009986	L4
GO:0010287	L4
GO:0010319	L4
GO:0010339	L4
GO:0012505	L4
GO:0014705	L4
GO:0014801	L4
GO:0016020	L4
GO:0016328	L4
GO:0016363	L4
GO:0016604	L4
GO:0018995	L4
GO:0019037	L4
GO:0019898	L4
GO:0020007	L4
GO:0020008	L4
GO:0020010	L4
GO:0020016	L4
GO:0020023	L4
GO:0020031	L4
GO:0020032	L4
GO:0020038	L4
GO:0020039	L4
GO:0030017	L4
GO:0030018	L4
GO:0030054	L4
GO:0030061	L4
GO:0030312	L4
GO:0030315	L4
GO:0030427	L4
GO:0030428	L4
GO:0030478	L4
GO:0030486	L4
GO:0030496	L4
GO:0030694	L4
GO:0030874	L4
GO:0030875	L4
GO:0031012	L4
GO:0031224	L4
GO:0031252	L4
GO:0031254	L4
GO:0031256	L4
GO:0031257	L4
GO:0031430	L4
GO:0031592	L4
GO:0031672	L4
GO:0031673	L4
GO:0031674	L4
GO:0031910	L4
GO:0031911	L4
GO:0031912	L4
GO:0031974	L4
GO:0031975	L4
GO:0031977	L4
GO:0031984	L4
GO:0032123	L4
GO:0032126	L4
GO:0032153	L4
GO:0032158	L4
GO:0032161	L4
GO:0032178	L4
GO:0032179	L4
GO:0032426	L4
GO:0032432	L4
GO:0032433	L4
GO:0032437	L4
GO:0032579	L4
GO:0032584	L4
GO:0033012	L4
GO:0033101	L4
GO:0033150	L4
GO:0033172	L4
GO:0033268	L4
GO:0033269	L4
GO:0033270	L4
GO:0033774	L4
GO:0034399	L4
GO:0034451	L4
GO:0034646	L4
GO:0034992	L4
GO:0035182	L4
GO:0035183	L4
GO:0035253	L4
GO:0035686	L4
GO:0035748	L4
GO:0035749	L4
GO:0035843	L4
GO:0035869	L4
GO:0036007	L4
GO:0036063	L4
GO:0036117	L4
GO:0036224	L4
GO:0036379	L4
GO:0036457	L4
GO:0036477	L4
GO:0042587	L4
GO:0042597	L4
GO:0042641	L4
GO:0042716	L4
GO:0042718	L4
GO:0042763	L4
GO:0042995	L4
GO:0043034	L4
GO:0043036	L4
GO:0043159	L4
GO:0043187	L4
GO:0043188	L4
GO:0043194	L4
GO:0043196	L4
GO:0043198	L4
GO:0043203	L4
GO:0043204	L4
GO:0043209	L4
GO:0043218	L4
GO:0043219	L4
GO:0043220	L4
GO:0043226	L4
GO:0043245	L4
GO:0043265	L4
GO:0043592	L4
GO:0043593	L4
GO:0043595	L4
GO:0043662	L4
GO:0043668	L4
GO:0043669	L4
GO:0043670	L4
GO:0043671	L4
GO:0043672	L4
GO:0043673	L4
GO:0043674	L4
GO:0043675	L4
GO:0043676	L4
GO:0043678	L4
GO:0043680	L4
GO:0044099	L4
GO:0044195	L4
GO:0044224	L4
GO:0044232	L4
GO:0044280	L4
GO:0044290	L4
GO:0044292	L4
GO:0044297	L4
GO:0044298	L4
GO:0044303	L4
GO:0044304	L4
GO:0044306	L4
GO:0044322	L4
GO:0044326	L4
GO:0044327	L4
GO:0045169	L4
GO:0045171	L4
GO:0045177	L4
GO:0045178	L4
GO:0046691	L4
GO:0046808	L4
GO:0046818	L4
GO:0046868	L4
GO:0048217	L4
GO:0048222	L4
GO:0048223	L4
GO:0048224	L4
GO:0048225	L4
GO:0048226	L4
GO:0048471	L4
GO:0048786	L4
GO:0051233	L4
GO:0051286	L4
GO:0055044	L4
GO:0055120	L4
GO:0060104	L4
GO:0060105	L4
GO:0060106	L4
GO:0060107	L4
GO:0060108	L4
GO:0060109	L4
GO:0060110	L4
GO:0060111	L4
GO:0060187	L4
GO:0060417	L4
GO:0060418	L4
GO:0061645	L4
GO:0061822	L4
GO:0061823	L4
GO:0061825	L4
GO:0061826	L4
GO:0061827	L4
GO:0061830	L4
GO:0061834	L4
GO:0061835	L4
GO:0061845	L4
GO:0061908	L4
GO:0062074	L4
GO:0062160	L4
GO:0062201	L4
GO:0070057	L4
GO:0070115	L4
GO:0070258	L4
GO:0070469	L4
GO:0070645	L4
GO:0070687	L4
GO:0070701	L4
GO:0070825	L4
GO:0070865	L4
GO:0070938	L4
GO:0070971	L4
GO:0071341	L4
GO:0071597	L4
GO:0071808	L4
GO:0071944	L4
GO:0072324	L4
GO:0072562	L4
GO:0085036	L4
GO:0090123	L4
GO:0090405	L4
GO:0090543	L4
GO:0090552	L4
GO:0090553	L4
GO:0090635	L4
GO:0090636	L4
GO:0090637	L4
GO:0090641	L4
GO:0090642	L4
GO:0090651	L4
GO:0090652	L4
GO:0090658	L4
GO:0090688	L4
GO:0090689	L4
GO:0090692	L4
GO:0090724	L4
GO:0090725	L4
GO:0090726	L4
GO:0090734	L4
GO:0097002	L4
GO:0097038	L4
GO:0097047	L4
GO:0097197	L4
GO:0097203	L4
GO:0097204	L4
GO:0097217	L4
GO:0097218	L4
GO:0097224	L4
GO:0097225	L4
GO:0097226	L4
GO:0097227	L4
GO:0097228	L4
GO:0097229	L4
GO:0097268	L4
GO:0097313	L4
GO:0097356	L4
GO:0097422	L4
GO:0097423	L4
GO:0097427	L4
GO:0097433	L4
GO:0097445	L4
GO:0097448	L4
GO:0097478	L4
GO:0097540	L4
GO:0097541	L4
GO:0097542	L4
GO:0097543	L4
GO:0097544	L4
GO:0097545	L4
GO:0097546	L4
GO:0097562	L4
GO:0097563	L4
GO:0097564	L4
GO:0097565	L4
GO:0097566	L4
GO:0097567	L4
GO:0097568	L4
GO:0097569	L4
GO:0097574	L4
GO:0097591	L4
GO:0097592	L4
GO:0097593	L4
GO:0097594	L4
GO:0097595	L4
GO:0097596	L4
GO:0097610	L4
GO:0097613	L4
GO:0097614	L4
GO:0097653	L4
GO:0097683	L4
GO:0097684	L4
GO:0097735	L4
GO:0098552	L4
GO:0098687	L4
GO:0098793	L4
GO:0098794	L4
GO:0098833	L4
GO:0098843	L4
GO:0098862	L4
GO:0099079	L4
GO:0099080	L4
GO:0099086	L4
GO:0106124	L4
GO:0106125	L4
GO:0106126	L4
GO:0110071	L4
GO:0110092	L4
GO:0110093	L4
GO:0120043	L4
GO:0120044	L4
GO:0120082	L4
GO:0120083	L4
GO:0120098	L4
GO:0120100	L4
GO:0120102	L4
GO:0120104	L4
GO:0120105	L4
GO:0120106	L4
GO:0120107	L4
GO:0120120	L4
GO:0120121	L4
GO:0120134	L4
GO:0120135	L4
GO:0120205	L4
GO:0120206	L4
GO:0120212	L4
GO:0120219	L4
GO:0120220	L4
GO:0140022	L4
GO:0150004	L4
GO:0150034	L4
GO:1990013	L4
GO:1990014	L4
GO:1990015	L4
GO:1990016	L4
GO:1990018	L4
GO:1990030	L4
GO:1990031	L4
GO:1990037	L4
GO:1990038	L4
GO:1990047	L4
GO:1990073	L4
GO:1990225	L4
GO:1990295	L4
