KOG	KOGID
I	KOG0873
I	KOG0874
J	KOG0875
P	KOG0876
J	KOG0877
J	KOG0878
O	KOG0879
O	KOG0880
O	KOG0881
O	KOG0882
O	KOG0883
O	KOG0884
O	KOG0885
J	KOG0886
J	KOG0887
F	KOG0888
T	KOG0889
B	KOG0889
L	KOG0889
D	KOG0889
T	KOG0890
B	KOG0890
L	KOG0890
D	KOG0890
L	KOG0891
T	KOG0892
B	KOG0892
L	KOG0892
D	KOG0892
J	KOG0893
O	KOG0894
O	KOG0895
O	KOG0896
O	KOG0897
J	KOG0898
J	KOG0899
J	KOG0900
J	KOG0901
T	KOG0902
T	KOG0903
U	KOG0903
T	KOG0904
T	KOG0905
T	KOG0906
U	KOG0906
O	KOG0907
O	KOG0908
O	KOG0909
O	KOG0910
O	KOG0911
O	KOG0912
C	KOG0912
O	KOG0913
C	KOG0913
O	KOG0914
S	KOG0915
M	KOG0916
S	KOG0917
P	KOG0918
K	KOG0919
A	KOG0920
K	KOG0921
A	KOG0922
A	KOG0923
A	KOG0924
A	KOG0925
A	KOG0926
J	KOG0926
R	KOG0927
U	KOG0928
U	KOG0929
U	KOG0930
U	KOG0931
U	KOG0932
B	KOG0933
D	KOG0933
U	KOG0934
U	KOG0935
U	KOG0936
U	KOG0937
U	KOG0938
O	KOG0939
K	KOG0939
O	KOG0940
O	KOG0941
O	KOG0942
O	KOG0943
O	KOG0944
E	KOG0945
H	KOG0945
U	KOG0946
A	KOG0947
A	KOG0948
R	KOG0949
R	KOG0950
A	KOG0951
A	KOG0952
A	KOG0953
R	KOG0954
R	KOG0955
R	KOG0956
R	KOG0957
L	KOG0958
O	KOG0959
O	KOG0960
O	KOG0961
L	KOG0962
K	KOG0963
D	KOG0964
R	KOG0965
L	KOG0966
L	KOG0967
L	KOG0968
L	KOG0969
L	KOG0970
D	KOG0971
Z	KOG0971
T	KOG0972
D	KOG0973
K	KOG0973
R	KOG0974
E	KOG0975
T	KOG0976
D	KOG0977
Y	KOG0977
O	KOG0978
B	KOG0979
D	KOG0979
L	KOG0979
Z	KOG0980
L	KOG0981
D	KOG0982
Z	KOG0982
T	KOG0983
T	KOG0984
U	KOG0985
T	KOG0986
D	KOG0987
A	KOG0988
L	KOG0989
L	KOG0990
L	KOG0991
S	KOG0992
U	KOG0993
W	KOG0994
D	KOG0995
B	KOG0996
D	KOG0996
S	KOG0997
T	KOG0998
U	KOG0998
U	KOG0999
B	KOG1000
K	KOG1001
L	KOG1001
L	KOG1002
Z	KOG1003
J	KOG1004
L	KOG1005
B	KOG1005
T	KOG1006
S	KOG1007
S	KOG1008
B	KOG1009
L	KOG1009
D	KOG1010
T	KOG1011
U	KOG1011
R	KOG1012
U	KOG1013
I	KOG1014
K	KOG1015
R	KOG1016
R	KOG1017
F	KOG1018
B	KOG1019
D	KOG1019
T	KOG1019
B	KOG1020
D	KOG1020
L	KOG1020
G	KOG1021
M	KOG1021
W	KOG1021
G	KOG1022
M	KOG1022
W	KOG1022
T	KOG1023
T	KOG1024
T	KOG1025
T	KOG1026
U	KOG1026
T	KOG1027
T	KOG1028
U	KOG1028
T	KOG1029
U	KOG1029
R	KOG1030
R	KOG1031
S	KOG1032
J	KOG1033
K	KOG1034
J	KOG1035
D	KOG1036
K	KOG1037
L	KOG1037
O	KOG1037
K	KOG1038
L	KOG1038
O	KOG1039
A	KOG1040
J	KOG1041
D	KOG1042
S	KOG1043
T	KOG1044
Z	KOG1044
S	KOG1045
E	KOG1046
O	KOG1046
I	KOG1047
O	KOG1047
V	KOG1047
E	KOG1047
T	KOG1048
W	KOG1048
A	KOG1049
G	KOG1050
O	KOG1051
P	KOG1052
E	KOG1052
T	KOG1052
P	KOG1053
E	KOG1053
T	KOG1053
P	KOG1054
E	KOG1054
T	KOG1054
P	KOG1055
E	KOG1055
T	KOG1055
P	KOG1056
T	KOG1056
Z	KOG1057
U	KOG1058
U	KOG1059
U	KOG1060
U	KOG1061
U	KOG1062
B	KOG1063
K	KOG1063
R	KOG1064
G	KOG1065
G	KOG1066
M	KOG1066
O	KOG1066
R	KOG1067
J	KOG1068
J	KOG1069
A	KOG1070
J	KOG1071
R	KOG1072
U	KOG1073
K	KOG1074
R	KOG1075
J	KOG1076
U	KOG1077
U	KOG1078
K	KOG1079
B	KOG1080
K	KOG1080
K	KOG1081
B	KOG1082
K	KOG1082
K	KOG1083
K	KOG1084
R	KOG1085
U	KOG1086
U	KOG1087
S	KOG1088
R	KOG1089
R	KOG1090
U	KOG1091
U	KOG1092
R	KOG1093
T	KOG1094
T	KOG1095
F	KOG1096
F	KOG1097
A	KOG1098
R	KOG1098
D	KOG1099
R	KOG1099
O	KOG1100
D	KOG1101
R	KOG1101
R	KOG1102
S	KOG1103
A	KOG1104
K	KOG1105
S	KOG1106
U	KOG1107
