KOG	KOGID
S	KOG4687
T	KOG4688
A	KOG4689
S	KOG4690
S	KOG4691
O	KOG4692
R	KOG4693
S	KOG4694
S	KOG4695
S	KOG4696
U	KOG4697
S	KOG4698
U	KOG4699
R	KOG4700
M	KOG4701
S	KOG4702
S	KOG4703
S	KOG4704
S	KOG4705
S	KOG4706
J	KOG4707
J	KOG4708
S	KOG4709
O	KOG4710
R	KOG4711
S	KOG4712
T	KOG4713
D	KOG4713
Y	KOG4714
B	KOG4715
O	KOG4716
T	KOG4717
B	KOG4718
Y	KOG4719
U	KOG4719
I	KOG4720
T	KOG4721
R	KOG4722
S	KOG4723
T	KOG4724
S	KOG4725
W	KOG4726
R	KOG4727
T	KOG4728
R	KOG4729
V	KOG4730
D	KOG4731
S	KOG4732
R	KOG4733
S	KOG4734
S	KOG4735
S	KOG4736
C	KOG4737
P	KOG4738
D	KOG4739
R	KOG4739
S	KOG4740
S	KOG4741
R	KOG4742
T	KOG4743
S	KOG4744
R	KOG4745
A	KOG4746
T	KOG4747
G	KOG4748
M	KOG4748
T	KOG4749
E	KOG4750
L	KOG4751
J	KOG4752
S	KOG4753
G	KOG4754
O	KOG4755
J	KOG4756
R	KOG4757
R	KOG4758
J	KOG4759
S	KOG4760
O	KOG4761
L	KOG4762
C	KOG4763
S	KOG4764
S	KOG4765
S	KOG4766
C	KOG4767
A	KOG4768
C	KOG4769
C	KOG4770
J	KOG4771
J	KOG4772
C	KOG4773
S	KOG4774
D	KOG4775
S	KOG4776
E	KOG4777
J	KOG4778
S	KOG4779
S	KOG4780
S	KOG4781
S	KOG4782
S	KOG4783
S	KOG4784
K	KOG4785
K	KOG4786
T	KOG4786
S	KOG4787
V	KOG4788
S	KOG4789
S	KOG4790
S	KOG4791
T	KOG4792
L	KOG4793
N	KOG4794
K	KOG4795
K	KOG4796
K	KOG4797
S	KOG4798
J	KOG4799
X	KOG4800
T	KOG4801
W	KOG4802
S	KOG4803
R	KOG4804
S	KOG4805
S	KOG4806
Z	KOG4807
S	KOG4808
U	KOG4809
S	KOG4810
S	KOG4811
R	KOG4812
J	KOG4813
S	KOG4814
R	KOG4815
S	KOG4816
X	KOG4817
R	KOG4818
S	KOG4819
R	KOG4820
R	KOG4821
A	KOG4822
T	KOG4822
S	KOG4823
M	KOG4824
T	KOG4825
I	KOG4826
S	KOG4827
S	KOG4828
S	KOG4829
G	KOG4830
X	KOG4831
S	KOG4832
S	KOG4833
R	KOG4834
L	KOG4835
S	KOG4836
S	KOG4837
S	KOG4838
S	KOG4839
R	KOG4840
O	KOG4841
T	KOG4841
D	KOG4842
S	KOG4843
J	KOG4844
C	KOG4845
T	KOG4846
R	KOG4847
W	KOG4848
V	KOG4848
A	KOG4849
S	KOG4850
S	KOG4851
S	KOG4852
